,round,player_name,team_name,opponent_team_name,was_home,total_points
5,6,Jonas Knudsen,Malmö FF,AIK,False,1
6,7,Jonas Knudsen,Malmö FF,Kalmar FF,True,1
7,7,Jonas Knudsen,Malmö FF,IF Elfsborg,True,3
8,8,Jonas Knudsen,Malmö FF,Örebro SK,False,3
9,9,Jonas Knudsen,Malmö FF,IFK Norrköping,False,2
10,10,Jonas Knudsen,Malmö FF,IK Sirius,True,7
11,11,Jonas Knudsen,Malmö FF,Degerfors IF,False,1
12,12,Jonas Knudsen,Malmö FF,Mjällby AIF,False,0
13,14,Jonas Knudsen,Malmö FF,Halmstads BK,False,0
14,15,Jonas Knudsen,Malmö FF,IFK Göteborg,True,0
15,16,Jonas Knudsen,Malmö FF,Degerfors IF,True,0
0,1,Lasse Nielsen,Malmö FF,Hammarby,True,1
1,2,Lasse Nielsen,Malmö FF,BK Häcken,False,1
2,3,Lasse Nielsen,Malmö FF,Östersunds FK,True,0
3,4,Lasse Nielsen,Malmö FF,Djurgården,False,0
4,5,Lasse Nielsen,Malmö FF,Varbergs BoIS,True,8
5,6,Lasse Nielsen,Malmö FF,AIK,False,2
6,7,Lasse Nielsen,Malmö FF,Kalmar FF,True,2
7,7,Lasse Nielsen,Malmö FF,IF Elfsborg,True,0
8,8,Lasse Nielsen,Malmö FF,Örebro SK,False,3
9,9,Lasse Nielsen,Malmö FF,IFK Norrköping,False,3
10,10,Lasse Nielsen,Malmö FF,IK Sirius,True,0
11,11,Lasse Nielsen,Malmö FF,Degerfors IF,False,0
12,12,Lasse Nielsen,Malmö FF,Mjällby AIF,False,7
13,14,Lasse Nielsen,Malmö FF,Halmstads BK,False,0
14,15,Lasse Nielsen,Malmö FF,IFK Göteborg,True,1
15,16,Lasse Nielsen,Malmö FF,Degerfors IF,True,0
0,1,Eric Larsson,Malmö FF,Hammarby,True,2
1,2,Eric Larsson,Malmö FF,BK Häcken,False,1
2,3,Eric Larsson,Malmö FF,Östersunds FK,True,3
3,4,Eric Larsson,Malmö FF,Djurgården,False,6
4,5,Eric Larsson,Malmö FF,Varbergs BoIS,True,0
5,6,Eric Larsson,Malmö FF,AIK,False,4
6,7,Eric Larsson,Malmö FF,Kalmar FF,True,0
7,7,Eric Larsson,Malmö FF,IF Elfsborg,True,3
8,8,Eric Larsson,Malmö FF,Örebro SK,False,0
9,9,Eric Larsson,Malmö FF,IFK Norrköping,False,1
10,10,Eric Larsson,Malmö FF,IK Sirius,True,9
