chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries
100.0,100.0,248586,0,0,-1,1,1,3,1.7,1.7,3,Adi,1.7,19,False,,2021-08-10T08:32:42.311845Z,69,248586.jpg,3.6,Nalic,3.7,False,,a,1,993,54,1634,2,1222,24,0.2,7.8,Nalic,810,3,3,4,8,0,0,3,0,0,0,6,2,10,17,3,7,47
0.0,0.0,242865,-1,1,-3,3,0,3,0.0,0.0,0,Pavle,0.0,20,False,Lämnat för Rosenborg,2021-08-12T16:36:14.240666Z,42,242865.jpg,2.1,Vagic,0.7,False,,n,1,993,15,597,0,477,8,0.0,3.6,Vagic,489,0,1,0,7,0,0,2,0,0,0,1,2,0,6,0,15,37
0.0,0.0,521072,0,0,-2,2,0,3,0.0,0.0,0,Mubaarak Mohamud,0.0,21,False,Utlånad till Jammerbugt,2021-07-01T09:51:31.193752Z,43,521072.jpg,0.0,Nuh,0.1,False,,n,1,993,0,23,0,51,0,0.0,0.0,Mubaarak Nuh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,484405,0,0,-2,2,0,3,1.3,1.3,3,Sebastian,1.3,22,False,,2021-07-16T12:40:16.584881Z,43,484405.jpg,1.6,Nanasi,3.3,False,,a,1,993,13,550,3,2247,17,0.3,3.0,Nanasi,311,0,0,2,1,0,0,0,0,0,0,0,1,1,4,0,2,16
,,193905,0,0,-5,5,0,3,0.2,0.2,0,Romain,0.2,23,False,,,55,193905.jpg,2.1,Gall,1.1,False,,a,1,993,23,156,0,881,1,0.0,4.2,Gall,597,0,1,2,11,0,0,0,0,0,0,0,1,7,9,0,11,27
0.0,0.0,484401,0,0,-1,1,0,3,0.0,0.0,0,David,0.0,24,False,Utlånad till Jammerbugt,2021-07-01T09:51:31.213343Z,44,484401.jpg,0.0,Edvardsson,0.0,False,,n,1,993,0,2,0,10,0,0.0,0.0,Edvardsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,512780,0,0,-3,3,0,3,0.0,0.0,0,Patriot,0.0,25,False,,,42,512780.jpg,0.0,Sejdiu,0.5,False,,a,1,993,0,257,12,108,1,0.0,0.0,Sejdiu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,228439,0,0,4,-4,2,3,3.7,3.7,6,Veljko,3.7,26,False,,2021-04-09T11:41:57.566978Z,84,228439.jpg,4.6,Birmancevic,15.0,False,,a,1,993,65,7113,310,2041,12,0.4,7.7,Birmancevic,737,7,1,1,11,0,0,2,0,0,0,6,4,10,19,3,16,45
0.0,0.0,52154,0,0,-2,2,0,4,0.0,0.0,0,Ola,0.0,28,False,Knäskadad. Missar resten av säsongen.,2021-05-21T08:39:46.649014Z,98,52154.jpg,2.2,Toivonen,3.4,False,,i,1,993,18,770,0,2740,3,0.0,1.8,Toivonen,510,0,1,0,8,0,0,0,0,0,0,3,0,0,14,2,6,15
100.0,100.0,173848,0,0,7,-7,2,4,3.0,3.0,0,Antonio,3.0,29,True,,2021-04-19T12:06:34.911048Z,102,173848.jpg,6.0,Colak,36.2,False,,a,1,993,78,15039,122,7256,99,0.3,7.6,Colak,1049,8,2,2,18,0,0,1,0,0,0,6,2,1,14,5,14,28
100.0,100.0,28654,0,0,-1,1,1,2,3.6,3.6,8,Martin,3.6,147,False,,2021-07-20T10:54:31.810271Z,74,28654.jpg,4.1,Olsson,1.4,False,,a,1,993,45,676,15,385,5,0.5,6.1,Olsson,848,1,2,3,11,0,0,1,1,0,0,6,3,15,15,2,36,46
100.0,100.0,531041,0,0,1,-1,2,1,2.2,2.2,0,Ismael,2.2,397,False,,2021-05-11T18:47:42.543360Z,46,531041.jpg,4.8,Diawara,9.2,False,,a,1,993,62,2845,5,1759,87,0.5,13.5,Diawara,1170,0,0,3,23,0,0,3,0,64,0,0,17,0,0,0,17,135
0.0,0.0,535502,0,0,-2,2,0,3,0.0,0.0,0,Ismael,0.0,427,False,Utlånad till Jammerbugt,2021-07-01T09:51:31.231665Z,43,535502.jpg,0.0,Sidibe,0.1,False,,n,1,993,0,1,0,13,0,0.0,0.0,Sidibe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,534212,0,0,0,0,0,3,0.0,0.0,0,Markus,0.0,448,False,,,45,534212.jpg,1.0,Björkqvist,0.0,False,,a,1,993,1,1,0,0,0,0.0,0.2,Björkqvist,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,486548,0,0,-1,1,1,4,5.0,5.0,8,Abdul Malik,5.0,457,False,,2021-07-16T12:40:16.600533Z,74,486548.jpg,3.4,Abubakari,0.3,False,,a,1,993,17,144,16,26,10,0.7,2.3,Abubakari,269,2,0,2,1,0,0,1,0,0,0,0,1,0,4,0,5,13
100.0,100.0,50448,-1,1,-1,1,0,2,0.0,0.0,0,Niklas,0.0,458,False,,2021-07-16T12:40:16.553356Z,64,50448.jpg,6.0,Moisander,0.2,False,,a,1,993,6,151,0,88,7,0.0,0.9,Moisander,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0.0,0.0,461870,0,0,-3,3,0,3,0.0,0.0,0,Peter,-0.7,459,False,Avstängd i GW16,2021-08-16T09:05:47.046096Z,72,461870.jpg,0.0,Gwargis,0.0,False,,s,1,993,0,11,0,10,0,-0.1,0.0,Gwargis,37,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,3
,,201504,0,0,0,0,0,3,0.5,0.5,0,Sergio,0.5,481,False,,,90,201504.jpg,1.0,Peña,0.2,False,,a,1,993,1,112,4,36,2,0.1,0.1,Peña,30,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2
100.0,100.0,82250,0,0,0,0,0,1,0.6,0.6,3,Davor,0.6,30,False,,2021-04-03T11:47:41.241228Z,50,82250.jpg,3.0,Blazevic,0.1,False,,a,2,1987,3,3,0,19,0,0.1,0.6,Blazevic,90,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,12
,,52629,0,0,-2,2,1,1,2.8,2.8,0,David,2.8,31,False,,,53,52629.jpg,4.6,Ousted,6.3,False,,a,2,1987,51,530,2,1333,16,0.5,9.6,Ousted,990,0,0,2,15,0,0,0,0,41,0,0,14,0,1,0,8,105
100.0,100.0,484389,0,0,-1,1,0,1,1.6,1.6,0,Oliver,1.6,32,False,,2021-04-17T08:21:53.606050Z,44,484389.jpg,5.0,Dovin,1.7,False,,a,2,1987,20,306,3,266,4,0.4,4.5,Dovin,360,0,0,1,4,0,0,0,0,16,0,0,5,0,0,0,6,39
,,60641,0,0,0,0,1,2,3.0,3.0,2,Mads,3.0,33,False,,,55,60641.jpg,3.8,Fenger,4.0,False,,a,2,1987,60,689,2,893,9,0.5,10.9,Fenger,1372,1,0,3,20,0,0,1,0,0,0,2,17,2,8,2,96,80
100.0,100.0,95814,0,0,-3,3,0,2,0.6,0.6,1,Simon,0.6,35,False,,2021-07-10T16:30:43.821039Z,52,95814.jpg,2.4,Sandberg,0.9,False,,a,2,1987,26,92,0,382,1,0.1,5.0,Sandberg,603,0,0,2,10,0,0,2,0,0,0,2,3,9,6,1,27,32
50.0,50.0,82178,0,0,-3,3,0,2,0.0,0.0,0,Richard,0.0,36,False,Skadad. Tillbaka i spel: 1-2 veckor,2021-07-03T13:24:13.264882Z,47,82178.jpg,1.8,Magyar,0.8,False,,d,2,1987,7,98,0,321,1,0.0,1.5,Magyar,217,0,0,0,5,0,0,1,0,0,0,0,3,0,0,0,22,16
,,229216,0,0,2,-2,3,2,4.0,4.0,5,Mohanad,4.0,37,False,,,62,229216.jpg,4.6,Jeahze,13.4,False,,a,2,1987,73,4564,47,1796,39,0.6,11.8,Jeahze,1435,1,5,3,20,0,0,2,0,0,0,12,5,28,44,2,57,78
0.0,0.0,510921,0,0,-2,2,0,2,0.0,0.0,0,Axel,0.2,38,False,Utlånad till Brage,2021-08-05T15:03:56.613590Z,38,510921.jpg,1.0,Sjöberg,1.4,False,,n,2,1987,2,163,1,443,5,0.1,0.5,Sjöberg,66,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
,,64570,0,0,-1,1,0,2,3.4,3.4,1,Jon Gudni,3.4,39,False,,,59,64570.jpg,3.3,Fjoluson,4.2,False,,a,2,1987,53,331,0,846,9,0.6,9.0,Fjoluson,1440,0,0,3,21,0,0,2,0,0,0,0,18,1,3,0,99,93
,,487656,0,0,-2,2,1,2,1.0,1.0,1,Aziz,1.0,40,False,,,43,487656.jpg,2.3,Ouattara,1.3,False,,a,2,1987,28,431,0,713,2,0.2,6.5,Ouattara,527,1,0,1,9,0,0,3,0,0,0,0,6,1,0,0,40,38
100.0,100.0,165784,0,0,-2,2,0,3,2.6,2.6,3,Jeppe,2.6,41,False,,2021-07-13T08:24:28.907507Z,58,165784.jpg,3.1,Andersen,1.4,False,,a,2,1987,47,176,0,392,3,0.4,8.1,Andersen,1198,2,0,2,18,0,0,5,0,0,0,2,10,1,17,1,36,99
,,509478,0,0,-5,5,0,3,0.0,0.0,0,Mayckel,0.0,42,False,,,45,509478.jpg,0.0,Lahdo,0.0,False,,a,2,1987,0,2,0,15,0,0.0,0.0,Lahdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,447877,0,0,-2,2,0,3,0.0,0.0,0,Abdul-Halik,0.0,43,False,Har lämnat för Lyngby.,2021-07-16T13:18:28.425312Z,43,447877.jpg,1.0,Hudu,0.2,False,,n,2,1987,1,27,0,125,0,0.0,0.2,Hudu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,82273,0,0,1,-1,2,3,1.4,1.4,6,Abbe,1.4,44,False,,2021-07-06T07:46:15.621330Z,76,82273.jpg,4.2,Khalili,6.3,False,,a,2,1987,46,5043,8,4655,11,0.2,6.1,A Khalili,684,4,2,1,12,0,0,4,0,0,0,3,3,6,8,2,14,47
,,482331,0,0,2,-2,1,3,1.2,1.2,3,Akinkunmi,1.2,45,False,,,72,482331.jpg,3.9,Amoo,24.0,False,,a,2,1987,63,9408,7,8614,117,0.2,8.8,Amoo,941,4,3,2,13,0,0,2,0,0,0,4,4,5,15,2,7,61
100.0,100.0,483091,-1,1,-2,2,0,3,0.8,0.8,0,Aimar,0.8,46,False,,2021-07-06T07:33:27.687995Z,48,483091.jpg,1.3,Sher,0.4,False,,a,2,1987,13,27,0,125,2,0.2,2.7,Sher,467,0,0,2,5,0,0,5,0,0,0,1,1,1,4,1,10,20
,,170163,0,0,-4,4,0,3,2.4,2.4,2,Vladimir,2.4,47,False,,,61,170163.jpg,2.2,Rodic,0.9,False,,a,2,1987,20,41,1,317,1,0.4,3.3,Rodic,333,0,1,1,4,0,0,0,0,0,0,2,2,2,5,2,2,29
,,41102,0,0,-3,3,0,3,0.0,0.0,0,Imad,0.0,48,False,,,62,41102.jpg,0.0,Khalili,0.4,False,,a,2,1987,0,57,0,210,0,0.0,0.0,I Khalili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,157816,-1,1,-3,3,1,3,3.2,3.2,2,Darijan,3.2,49,False,,,87,157816.jpg,3.9,Bojanic,1.8,False,,a,2,1987,62,781,4,609,20,0.4,7.1,Bojanic,1082,1,3,3,14,0,0,3,0,0,0,14,7,24,37,5,19,69
0.0,0.0,48682,0,0,-1,1,0,3,0.0,0.0,0,Paulinho,0.0,50,False,Skadad. Tillbaka i spel: okänt,2021-07-03T13:24:13.283038Z,79,48682.jpg,0.5,Guerreiro,0.2,False,,i,2,1987,1,4,0,63,0,0.0,0.1,Paulinho,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
100.0,100.0,486075,0,0,-2,2,1,4,3.8,3.8,1,Astrit,3.8,51,False,,2021-07-01T09:22:54.530107Z,103,486075.jpg,4.2,Selmani,17.2,False,,a,2,1987,67,2853,10,5998,66,0.4,6.5,Selmani,1249,3,5,3,19,0,0,2,0,0,0,9,0,3,21,8,13,28
,,481032,0,0,-2,2,0,4,0.0,0.0,0,Filston,0.0,52,False,,,43,481032.jpg,0.0,Mawana,0.2,False,,a,2,1987,0,20,0,53,0,0.0,0.0,Mawana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,484488,0,0,0,0,1,3,3.0,3.0,2,Gustav,3.0,53,False,,,95,484488.jpg,4.6,Ludwigson,27.6,False,,a,2,1987,73,7772,15,8110,150,0.3,7.7,Ludwigson,1323,6,1,3,19,0,0,0,0,0,0,3,4,1,15,1,23,55
100.0,100.0,126174,0,0,-3,3,0,3,0.4,0.4,0,David,0.4,54,False,,2021-07-22T20:45:11.443270Z,82,126174.jpg,2.1,Accam,0.3,False,,a,2,1987,25,112,0,200,0,0.0,3.0,Accam,427,1,2,1,5,0,0,2,0,0,0,1,0,0,5,1,8,27
,,473998,0,0,-4,4,0,4,0.2,0.2,0,Loue,0.2,55,False,,,41,473998.jpg,1.0,Bayere Junior,0.4,False,,a,2,1987,5,154,2,151,3,0.0,1.2,Bayere Junior,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1
,,481671,0,0,0,0,0,1,0.0,0.0,0,Ian,0.0,440,False,,,40,481671.jpg,0.0,Pettersson,0.3,False,,a,2,1987,0,109,0,42,3,0.0,0.0,Pettersson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,543932,0,0,0,0,0,3,1.6,1.6,4,Williot,1.6,451,False,,,45,543932.jpg,2.1,Swedberg,0.3,False,,a,2,1987,15,179,3,48,3,0.4,3.3,Swedberg,198,1,1,0,3,0,0,1,0,0,0,0,0,1,0,0,2,15
,,78897,0,0,1,-1,0,2,5.8,5.8,3,Bjørn,5.8,460,False,,,66,78897.jpg,6.2,Paulsen,4.8,False,,a,2,1987,37,2090,7,272,26,0.9,5.6,Paulsen,540,1,1,2,6,0,0,0,0,0,0,1,9,0,1,1,39,35
